Start Date,End Date,Country Name,ISO,Location,Latitude,Longitude,Magnitude Value,Magnitude Scale,Disaster Type,Disaster subtype,Total deaths,Total affected,Total damage ($),Disaster Name,Disaster Year,Disaster No.
27/08/2011,29/08/2011,Philippines (the),PHL,"Quezon City area (Metropolitan Manila district, National Capital region (NCR) province), Zambales, Bulacan districts (Region III (Central Luzon) province), Iloilo district (Region IV (Southern Tagalog) province), Benguet, Abra, Mountain Province districts (Cordillera Administrative region (CAR) province), Catanduanes district (Region V (Bicol region) province), Zamboanga Del Sur district (Region IX (Zamboanga Peninsula) province), Region I (Ilocos region) province",,,,Kph,Storm,Tropical cyclone,43,403230,34452,MINA (NANMADOL),2011,2011-0341
1/10/11,1/10/11,Philippines (the),PHL,"Cordillera Administrative region (CAR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon) provinces",,,,Kph,Storm,Tropical cyclone,25,1113775,2655,QUIEL (NALGAE),2011,2011-0378
24/09/2011,24/09/2011,Philippines (the),PHL,"Mindoro Occidental, Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Albay, Camarines Norte, Camarines Sur, Catanduanes districts (Region V (Bicol region) province), Antique, Iloilo districts (Region VI (Western Visayas) province), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV-A (Calabarzon) province",,,,Kph,Storm,Tropical cyclone,103,3030846,344173,PEDRING (NESAT),2011,2011-0379
13/10/2011,13/10/2011,Philippines (the),PHL,"Mindoro Oriental, Romblon districts (Region IV (Southern Tagalog) province), Capiz, Iloilo, Negros Occidental districts (Region VI (Western Visayas) province), Cebu district (Region VII (Central Visayas) province), Southern Leyte district (Region VIII (Eastern Visayas) province), Misamis Oriental district (Region X (Northern Mindanao) province), South Cotabato district (Region XII (Soccsksargen) province), Dinagat district (Region XIII (Caraga) province)",,,,Kph,Storm,Tropical cyclone,11,75638,,RAMON (BANYAN),2011,2011-0384
24/11/2011,27/11/2011,Sri Lanka,LKA,"Sabaragamuwa, Southern, Uva provinces",,,,Kph,Storm,Convective storm,22,35041,,,2011,2011-0484
15/12/2011,18/12/2011,Philippines (the),PHL,"Cagayan district (Region II (Cagayan Valley) province), Negros Oriental, Cebu districts (Region VII (Central Visayas) province), Zamboanga del Norte district (Region IX (Zamboanga Peninsula) province), Misamis Oriental, Lanao del Norte, Bukidnon districts (Region X (Northern Mindanao) province), Compostela district (Region XI (Davao Region) province), Surigao del Sur district (Region XIII (Caraga) province), Lanao del Sur district (Autonomous region in Muslim Mindanao (ARMM) province)",8.526,124.88,,Kph,Storm,Tropical cyclone,1439,1150300,38082,WASHI (SENDONG),2011,2011-0519
20/05/2011,29/05/2011,Philippines (the),PHL,"Taguig city (Metropolitan Manila district, National Capital region (NCR) province), Isabela district (Region II (Cagayan Valley) province), Albay, Camarines Norte, Camarines Sur, Catanduanes, Sorsogon districts (Region V (Bicol region) province), Zamboanga del Sur district (Region IX (Zamboanga Peninsula) province), Bukidnon district (Region X (Northern Mindanao) province), Compostela, Davao del Norte districts (Region XI (Davao Region) province), Lanao del Sur, Maguindanao districts (Autonomous region in Muslim Mindanao (ARMM) province)",,,,Kph,Storm,Tropical cyclone,,446907,431,CHEDENG (SONGDA),2011,2011-0555
29/12/2011,30/12/2011,India,IND,"Cuddalore district (Tamil Nadu province), Puducherry district (Puducherry province)",,,140,Kph,Storm,Tropical cyclone,47,250000,375625,THANE,2011,2011-0566
14/06/2011,20/06/2011,Philippines (the),PHL,"Autonomous region in Muslim Mindanao (ARMM), Cordillera Administrative region (CAR), National Capital region (NCR), Region I (Ilocos region), Region II (Cagayan Valley), Region III (Central Luzon), Region IV (Southern Tagalog) Region IV-A (Calabarzon), Region IX (Zamboanga Peninsula), Region V (Bicol region), Region VI (Western Visayas), Region VII (Central Visayas), Region VIII (Eastern Visayas), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces",,,,Kph,Storm,Tropical cyclone,,,,HAIMA (EGAY),2011,2011-0576
19/06/2011,24/06/2011,Viet Nam,VNM,"Bac Giang, Bac Kan, Bac Ninh, Cao Bang, Dien Bien, Ha Giang, Ha Nam, Ha Noi City, Ha Tay, Hai Duong, Hai Phong City, Hoa Binh, Hung Yen, Lai Chau, Lang Son, Lao Cai, Nam Dinh, Ninh Binh, Phu Tho, Quang Ninh, Son La, Thai Binh, Thai Nguyen, Thanh Hoa, Tuyen Quang, Vinh Phuc, Yen Bai, Binh Dinh, Da Nang City, Gia Lai, Ha Tinh, Kon Tum, Nghe An, Quang Binh, Quang Nam, Quang Ngai, Quang Tri, Thua Thien - Hue provinces",,,,Kph,Storm,Tropical cyclone,,,,HAIMA (EGAY),2011,2011-0576
4/4/11,4/4/11,Bangladesh,BGD,"Sherpur, Jamalpur, Netrakona, Mymensingh districts (Dhaka province), Rangpur, Thakurgaon, Gaibandha districts (Rangpur province), Pabna district (Rajshahi province)",,,,Kph,Storm,Convective storm,13,121,,,2011,2011-0591
15/04/2011,15/04/2011,India,IND,Karnataka province,,,,Kph,Storm,Convective storm,17,,,,2011,2011-0593
6/4/12,6/4/12,Bangladesh,BGD,"Panchagarh, Rangpur, Nilphamari districts (Rangpur province), Noakhali, Comilla districts (Chittagong province), Narsingdi, Jamalpur, Faridpur, Shariatpur districts (Dhaka province), Jessore, Satkhira, Khulna, Chuadanga districts (Khulna province), Rajshahi district (Rajshahi province), Sylhet district (Sylhet province), Bhola district (Barisal province)",,,56,Kph,Storm,Convective storm,25,55121,,,2012,2012-0082
26/07/2012,27/07/2012,Viet Nam,VNM,"Bac Kan, Cao Bang, Ha Giang, Lang Son, Tuyen Quang provinces",,,,Kph,Storm,Tropical cyclone,10,3,,VICENTE,2012,2012-0259
